CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,FamilyName,TotalFee,C_Num,HomePlanet_Europa,HomePlanet_Earth,HomePlanet_Mars,Destination_TRAPPIST-1e,Destination_PSO J318.5-22,Destination_55 Cancri e,Father,Student,YoungAdult,Young,Adult,Unknown,GrandFather,HightSchool,Kinder,School,C_Deck_B,C_Deck_F,C_Deck_A,C_Deck_G,C_Deck_C,C_Deck_E,C_Deck_D,C_Deck_T,C_Side_P,C_Side_S
0,0,0.0,3859.0,13.0,195.0,3874.0,2057,7941.0,123.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1825,0.0,126.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,2034,0.0,343.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,142.0,1208.0,0.0,0.0,204.0,891,1554.0,1420.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,0.0,670.0,1.0,34.0,626,705.0,9.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,90.0,4.0,0.0,7.0,588.0,578,689.0,1553.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,834.0,0.0,28.0,117.0,41.0,628,1020.0,153.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,31.0,3585.0,31.0,1400.0,0.0,264,5047.0,227.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0.0,1025.0,23.0,0.0,0.0,415,1048.0,723.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,352,0.0,450.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0.0,366.0,23492.0,356.0,3.0,397,24217.0,291.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0.0,0.0,0.0,716.0,0.0,335,716.0,1738.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,149.0,25.0,559.0,21.0,33.0,1866,787.0,377.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0.0,56.0,0.0,0.0,1918.0,818,1974.0,40.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1535.0,0.0,340.0,0.0,723.0,2018,2598.0,262.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1884,0.0,263.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1412,0.0,736.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,8.0,652.0,0.0,5.0,90.0,347,755.0,300.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1020.0,0.0,2.0,2.0,0.0,1353,1024.0,879.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,472,0.0,940.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,42.0,4.0,1215.0,0.0,3.0,1190,1264.0,676.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,3259.0,761.0,4423.0,0.0,1581,8443.0,230.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,1820,0.0,219.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,809.0,0.0,0.0,0.0,0.0,691,809.0,586.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,169,0.0,585.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,0.0,0.0,0.0,0.0,98,0.0,526.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,4.0,0.0,2.0,254.0,521.0,1890,781.0,300.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,415,0.0,1476.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,412.0,492.0,9.0,117.0,33.0,696,1063.0,137.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.0,0.0,4.0,0.0,0.0,969,4.0,145.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,615,0.0,105.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1886,0.0,75.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,2137,0.0,1487.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,1792,0.0,1022.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,931.0,0.0,134.0,0.0,421.0,837,1486.0,761.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,0.0,0.0,6.0,1989.0,204,1995.0,1838.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,168.0,3.0,0.0,452.0,262,623.0,284.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
